term,POS tag
spaces,NNS
concourse,VBP
street,NN
crosswalks,NNS
parks,VBP
crosswalk,NN
accidents,NNS
entrance,NN
tunnel,NN
traffic,NN
sidewalks,NNS
parking,VBG
corridor,NN
plazas,NN
bridge,NN
sidewalk,NN
shopping,NN
walkways,NNS
tunnels,NNS
thoroughfare,VBP
walkway,RB
malls,NNS
bicycle,VBP
accident,JJ
promenade,NN
pathways,NNS
paths,VBP
vehicle,NN
driver,NN
passenger,NN
lanes,NNS
transit,VBP
neighborhoods,NNS
streets,NNS
route,VBP
routes,NNS
transportation,NN
lane,NN
collision,NN
plaza,NN
overpasses,VBZ
bike,IN
motorist,NN
amenities,NNS
cobblestone,VBP
mall,NN
bridges,NNS
car,NN
collisions,NNS
overpass,VBP
city,NN
roads,NNS
road,NN
underpass,JJ
bicyclist,NN
highway,NN
crossings,NNS
